Name,Rating,Title,Nationality,Games,Rank,Fide Id,Year of Birth
Magnus Carlsen,2847,Grand Master,Norway,2835,1,1503014,1990
Fabiano Caruana,2820,Grand Master,United States,2326,2,2020009,1992
Liren Ding,2791,Grand Master,China,1507,3,8603677,1992
Ian Nepomniachtchi,2789,Grand Master,Russian Federation,2081,4,4168119,1990
Levon Aronian,2781,Grand Master,Armenia,3024,5,13300474,1982
Alexander Grischuk,2777,Grand Master,Russian Federation,3077,6,4126025,1983
Anish Giri,2776,Grand Master,Netherlands,1980,7,24116068,1994
Shakhriyar Mamedyarov,2770,Grand Master,Azerbaijan,2669,8,13401319,1985
Wesley So,2770,Grand Master,United States,1637,9,5202213,1993
Teimour Radjabov,2765,Grand Master,Azerbaijan,1847,10,13400924,1987
Hao Wang,2763,Grand Master,China,1691,11,8602883,1989
Richard Rapport,2763,Grand Master,Hungary,1044,12,738590,1996
Alireza Firouzja,2759,Grand Master,Fide,670,13,12573981,2003
Leinier Dominguez Perez,2758,Grand Master,United States,1188,14,3503240,1983
Maxime Vachier Lagrave,2758,Grand Master,France,2638,15,623539,1990
Sergey Karjakin,2757,Grand Master,Russian Federation,2786,16,14109603,1990
Viswanathan Anand,2753,Grand Master,India,3777,17,5000017,1969
Vladimir Kramnik,2753,Grand Master,Russian Federation,2927,18,4101588,1975
Hikaru Nakamura,2736,Grand Master,United States,2989,19,2016192,1987
Veselin Topalov,2735,Grand Master,Bulgaria,2326,20,2900084,1975
Yi Wei,2732,Grand Master,China,947,21,8603405,1999
Pentala Harikrishna,2730,Grand Master,India,2116,22,5007003,1986
Jan Krzysztof Duda,2729,Grand Master,Poland,969,23,1170546,1998
Santosh Gujrathi Vidit,2726,Grand Master,India,985,24,5029465,1994
Dmitry Andreikin,2725,Grand Master,Russian Federation,1508,25,4158814,1990
Michael Adams,2716,Grand Master,United Kingdom,3050,26,400041,1971
Nikita Vitiugov,2715,Grand Master,Russian Federation,1698,27,4152956,1987
Peter Svidler,2714,Grand Master,Russian Federation,3120,28,4102142,1976
Daniil Dubov,2710,Grand Master,Russian Federation,1476,29,24126055,1996
Francisco Vallejo Pons,2710,Grand Master,Spain,2274,30,2205530,1982
Yangyi Yu,2709,Grand Master,China,1442,31,8603820,1994
